LAT,LON,CITY,12-Jan
11.7401,92.6586,Andaman & Nicobar Island,4832
15.9129,79.74,Andhra Pradesh,101978
27.08,93.4,Arunanchal Pradesh,19290
26.244156,92.537842,Assam,1500623
25.0961,85.3131,Bihar,5275710
30.7333,76.7794,Chandigarh,20
21.295132,81.828232,Chhattisgarh,2127270
20.3974,72.8328,Daman & Diu,306
20.1809,73.0169,Dadra & Nagar Haveli,12464
28.7041,77.1025,NCT of Delhi,27525
15.2993,74.124,Goa,992
23.109425,72.13623,Gujarat,1408202
29.238478,76.431885,Haryana,404052
32.084206,77.571167,Himachal Pradesh,50114
34.083656,74.797371,Jammu & Kashmir,481945
23.6102,85.2799,Jharkhand,1416771
13.317277,75.71389,Karnataka,984698
10.850516,76.27108,Kerala,73300
10.076011,73.630345,Lakshadweep,216
23.473324,77.947998,Madhya Pradesh,3683060
19.601194,75.552979,Maharashtra,2093410
24.6637,93.9063,Manipur,53175
25.467,91.3662,Meghalaya,82978
23.1645,92.9376,Mizoram,16084
26.1584,94.5624,Nagaland,22332
20.94092,84.803467,Odisha,2603896
11.9139,79.8145,Puducherry,7230
31.1471,75.3412,Punjab,603535
27.391277,73.432617,Rajasthan,2963046
27.533,88.5122,Sikkim,2230
10,78.656891,Tamil Nadu,1599534
17.123184,79.208824,Telangana,162660
23.745127,91.746826,Tripura,112622
28.207609,79.82666,Uttar Pradesh,7560261
30.0668,79.0193,Uttarakhand,169199
22.978624,87.747803,West Bengal,5404450
